controller,anti_windup_enabled,time_s,supply_temperature_c,return_temperature_c,setpoint_c,control_error_c,proportional_term,integral_error_c_s,integral_term,unrestricted_command,heat_load_kw,mass_flow_kg_s,flow_heat_transfer_kw,requested_cooling_fraction,applied_cooling_fraction,cooling_kw,energy_residual_kj
PI_NO_ANTI_WINDUP,False,1830.0,4.3416718046724085,5.763467898348267,7.0,-2.6583281953275915,-0.7974984585982774,998.7711060116966,0.9987711060116966,0.20127264741341921,30.0,5.0,29.715538357825444,0.20127264741341921,0.20127264741341921,20.12726474134192,-2.984279490192421e-13
PI_NO_ANTI_WINDUP,False,1840.0,4.387548711928311,5.764828958837141,7.0,-2.6124512880716892,-0.7837353864215068,972.1878240584207,0.9721878240584207,0.188452437636914,30.0,5.0,28.785157160394547,0.188452437636914,0.188452437636914,18.8452437636914,7.105427357601002e-13
PI_NO_ANTI_WINDUP,False,1850.0,4.43510810617091,5.7706416040027175,7.0,-2.56489189382909,-0.769467568148727,946.0633111777038,0.9460633111777038,0.17659574302897685,30.0,5.0,27.91265010468478,0.17659574302897685,0.17659574302897685,17.659574302897685,1.4352963262354024e-12
PI_NO_ANTI_WINDUP,False,1860.0,4.484165885126829,5.780628924075996,7.0,-2.5158341148731713,-0.7547502344619513,920.4143922394129,0.9204143922394129,0.16566415777746157,30.0,5.0,27.0960775140376,0.16566415777746157,0.16566415777746157,16.56641577774616,-3.410605131648481e-13
PI_NO_ANTI_WINDUP,False,1870.0,4.534547041759802,5.794523290037539,7.0,-2.4654529582401983,-0.7396358874720594,895.2560510906812,0.8952560510906813,0.15562016361862185,30.0,5.0,26.333503589004703,0.15562016361862185,0.15562016361862185,15.562016361862185,-9.947598300641403e-13
PI_NO_ANTI_WINDUP,False,1880.0,4.586085258157613,5.812066335066224,7.0,-2.4139147418423867,-0.724174422552716,870.6015215082792,0.8706015215082793,0.14642709895556327,30.0,5.0,25.623004507389968,0.14642709895556327,0.14642709895556327,14.642709895556328,7.105427357601002e-13
PI_NO_ANTI_WINDUP,False,1890.0,4.638622552951076,5.833008897231823,7.0,-2.361377447048924,-0.7084132341146773,846.4623740898554,0.8464623740898555,0.1380491399751782,30.0,5.0,24.962674595467604,0.1380491399751782,0.1380491399751782,13.80491399751782,5.400124791776761e-13
PI_NO_ANTI_WINDUP,False,1900.0,4.692008967295333,5.857110932660207,7.0,-2.307991032704667,-0.6923973098114,822.8485996193662,0.8228485996193662,0.13045128980796616,30.0,5.0,24.350631076125868,0.13045128980796616,0.13045128980796616,13.045128980796616,0.0
PI_NO_ANTI_WINDUP,False,1910.0,4.746102278756239,5.884141405980179,7.0,-2.253897721243761,-0.6761693163731283,799.7686892923194,0.7997686892923195,0.12359937291919121,30.0,5.0,23.78501775898034,0.12359937291919121,0.12359937291919121,12.35993729191912,2.842170943040401e-14
PI_NO_ANTI_WINDUP,False,1920.0,4.800767735536437,5.913878163114244,7.0,-2.1992322644635633,-0.6597696793390689,777.2297120798818,0.7772297120798818,0.11746003274081285,30.0,5.0,23.264007936376178,0.11746003274081285,0.11746003274081285,11.746003274081286,9.947598300641403e-13
PI_NO_ANTI_WINDUP,False,1930.0,4.855877805690958,5.946107790212923,7.0,-2.144122194309042,-0.6432366582927126,755.2373894352461,0.7552373894352461,0.1120007311425335,30.0,5.0,22.785806676509072,0.1120007311425335,0.1120007311425335,11.20007311425335,1.0800249583553523e-12
PI_NO_ANTI_WINDUP,False,1940.0,4.911311937567779,5.980625461617186,7.0,-2.0886880624322206,-0.6266064187296662,733.7961674921556,0.7337961674921556,0.10718974876248943,30.0,5.0,22.348652652632598,0.10718974876248943,0.10718974876248943,10.718974876248943,-5.684341886080802e-14
PI_NO_ANTI_WINDUP,False,1950.0,4.966956328842342,6.017234779068705,7.0,-2.0330436711576576,-0.6099131013472973,712.9092868678334,0.7129092868678334,0.10299618552053613,30.0,5.0,21.950819609730974,0.10299618552053613,0.10299618552053613,10.299618552053612,2.5579538487363607e-13
