time_s,python_supply_temperature_c,simulink_supply_temperature_c,supply_error_c,python_return_temperature_c,simulink_return_temperature_c,return_error_c,python_cooling_fraction,simulink_cooling_fraction,cooling_fraction_error,python_integral_state_c_s,simulink_integral_state_c_s,integral_state_error_c_s
1700,6.42678984100479,6.42678984100479,0,8.21835633610243,8.21835633610243,0,0.395070519235462,0.395070519235462,-1.11022302462516e-16,567.033566934025,567.033566934025,-1.13686837721616e-13
1710,6.41691753394256,6.41691753394256,0,8.18274035644913,8.18274035644913,0,0.386376725526842,0.386376725526842,-1.11022302462516e-16,561.301465344073,561.301465344073,-1.13686837721616e-13
1720,6.40863056952966,6.40863056952966,0,8.14969874405493,8.14969874405493,0,0.378059811542396,0.378059811542396,-1.11022302462516e-16,555.470640683499,555.470640683498,-1.13686837721616e-13
1730,6.40184752500018,6.40184752500018,0,8.11913259645886,8.11913259645886,0,0.370111203878849,0.370111203878849,-1.11022302462516e-16,549.556946378795,549.556946378795,-1.13686837721616e-13
1740,6.39648933172555,6.39648933172555,0,8.09094475916946,8.09094475916946,0,0.362522221146461,0.36252222114646,-1.11022302462516e-16,543.575421628797,543.575421628797,-1.13686837721616e-13
1750,6.39247926626589,6.39247926626589,0,8.06503988628153,8.06503988628153,0,0.355284094825819,0.355284094825819,-1.11022302462516e-16,537.540314946052,537.540314946052,-1.13686837721616e-13
1760,6.38974293839864,6.38974293839864,0,8.04132449413642,8.04132449413642,0,0.348387989128303,0.348387989128303,-1.11022302462516e-16,531.465107608711,531.465107608711,-1.13686837721616e-13
1770,6.38820827620768,6.38820827620768,0,8.0197070084191,8.0197070084191,0,0.341825019855001,0.341825019855001,-1.11022302462516e-16,525.362536992698,525.362536992698,-1.13686837721616e-13
1780,6.38780550834987,6.38780550834987,8.88178419700125e-16,8.00009780505442,8.00009780505442,0,0.335586272259736,0.335586272259736,1.11022302462516e-16,519.244619754774,519.244619754774,-1.13686837721616e-13
1790,6.38846714363768,6.38846714363768,8.88178419700125e-16,7.98240924524042,7.98240924524042,8.88178419700125e-16,0.329662817929577,0.329662817929577,2.22044604925031e-16,513.122674838273,513.122674838273,-1.13686837721616e-13
1800,6.39012794809002,6.39012794809002,8.88178419700125e-16,7.96655570493661,7.96655570493661,8.88178419700125e-16,0.324045730701656,0.324045730701656,1.66533453693773e-16,507.00734627465,507.00734627465,-1.13686837721616e-13
1810,6.39272491961121,6.39272491961121,8.88178419700125e-16,7.95245359910841,7.95245359910841,8.88178419700125e-16,0.318726101638913,0.318726101638913,1.11022302462516e-16,500.90862575555,500.90862575555,-1.13686837721616e-13
1820,6.39619726046097,6.39619726046097,8.88178419700125e-16,7.94002140101515,7.94002140101515,8.88178419700125e-16,0.313695053089953,0.313695053089953,1.66533453693773e-16,494.835874951662,494.835874951662,-1.13686837721616e-13
1830,6.40048634767909,6.40048634767909,8.88178419700125e-16,7.92917965681619,7.92917965681619,8.88178419700125e-16,0.308943751859999,0.308943751859999,1.11022302462516e-16,488.797847556272,488.797847556272,-1.13686837721616e-13
