controller,time_s,supply_temperature_c,return_temperature_c,setpoint_c,control_error_c,proportional_term,integral_error_c_s,integral_term,heat_load_kw,mass_flow_kg_s,flow_heat_transfer_kw,requested_cooling_fraction,applied_cooling_fraction,cooling_kw,energy_residual_kj
PI,840.0,7.354796016622938,9.560911930479246,7.0,0.354796016622938,0.10643880498688141,345.84624911051395,0.345846249110514,50.0,5.0,46.107822599596844,0.4522850540973954,0.4522850540973954,45.22850540973954,1.1226575225009583e-12
PI,850.0,7.359003275904552,9.579534788854382,7.0,0.35900327590455205,0.10770098277136561,349.3942092767433,0.3493942092767433,50.0,5.0,46.40910862065144,0.4570951920481089,0.4570951920481089,45.70951920481089,1.1013412404281553e-12
PI,860.0,7.3623505936836935,9.596716087320164,7.0,0.3623505936836935,0.10870517810510805,352.98424203578884,0.3529842420357888,50.0,5.0,46.698238817002235,0.46168942014089687,0.46168942014089687,46.16894201408969,2.1316282072803006e-13
PI,870.0,7.364883114271792,9.612513987717282,7.0,0.3648831142717919,0.10946493428153756,356.60774797262576,0.3566077479726258,50.0,5.0,46.97548525501074,0.4660726822541633,0.4660726822541633,46.607268225416334,-1.2718714970105793e-12
PI,880.0,7.3666449182411435,9.626985350133499,7.0,0.36664491824114354,0.10999347547234306,360.2565791153437,0.3602565791153437,50.0,5.0,47.24111502655022,0.47025005458768676,0.47025005458768676,47.025005458768675,7.815970093361102e-13
PI,890.0,7.367678935311869,9.640185756705028,7.0,0.36767893531186857,0.11030368059356056,363.92302829775514,0.36392302829775514,50.0,5.0,47.49539256711703,0.4742267088913157,0.4742267088913157,47.42267088913157,-9.521272659185342e-13
PI,900.0,7.368026885924239,9.652169524326478,7.0,0.36802688592423927,0.11040806577727177,367.59981765087383,0.36759981765087385,50.0,5.0,47.73858114260678,0.4780078834281456,0.4780078834281456,47.800788342814556,5.329070518200751e-13
PI,910.0,7.3677292438179816,9.66298971024702,7.0,0.36772924381798155,0.11031877314539447,371.28008651011623,0.37128008651011624,50.0,5.0,47.9709437483669,0.4815988596555107,0.4815988596555107,48.15988596555107,-4.796163466380676e-13
PI,920.0,7.366825214070689,9.672698113364882,7.0,0.3668252140706887,0.11004756422120661,374.957378948296,0.37495737894829606,50.0,5.0,48.19274359524864,0.48500494316950266,0.48500494316950266,48.50049431695027,1.1723955140041653e-12
PI,930.0,7.365352722579293,9.681345273196229,7.0,0.36535272257929297,0.10960581677378789,378.6256310890029,0.37862563108900293,50.0,5.0,48.404244307893954,0.4882314478627908,0.4882314478627908,48.82314478627908,-7.744915819785092e-13
PI,940.0,7.363348414070273,9.6889804678953,7.0,0.3633484140702734,0.10900452422108202,382.27915831479584,0.38227915831479586,50.0,5.0,48.605709924943056,0.4912836825358779,0.4912836825358779,49.12836825358779,-4.5297099404706387e-13
PI,950.0,7.360847656516949,9.695651712273563,7.0,0.36084765651694894,0.10825429695508468,385.9126424554986,0.3859126424554986,50.0,5.0,48.797404765313225,0.4941669394105833,0.4941669394105833,49.416693941058334,-1.865174681370263e-12
