time_s,supply_temperature_c,return_temperature_c,heat_load_kw,mass_flow_kg_s,flow_heat_transfer_kw,requested_cooling_fraction,applied_cooling_fraction,cooling_kw,energy_residual_kj
1360.0,8.648675380297666,11.023953405534671,50.0,5.0,49.643310727453404,0.49460261408929984,0.49460261408929984,49.46026140892998,1.7763568394002505e-14
1370.0,8.649551214357587,11.025660052771736,50.0,5.0,49.66067472285571,0.49486536430727596,0.49486536430727596,49.4865364307276,-1.971756091734278e-12
1380.0,8.650384411927577,11.027283618691087,50.0,5.0,49.67719342135734,0.49511532357827315,0.49511532357827315,49.51153235782731,-2.1316282072803006e-13
1390.0,8.651177048595185,11.028828147775501,50.0,5.0,49.692907972868596,0.4953531145785556,0.4953531145785556,49.535311457855556,3.375077994860476e-13
1400.0,8.651931098906253,11.030297487618235,50.0,5.0,49.70785752408041,0.49557932967187596,0.49557932967187596,49.5579329671876,8.526512829121202e-13
1410.0,8.65264844128373,11.031695298507803,50.0,5.0,49.7220793159831,0.49579453238511917,0.49579453238511917,49.57945323851192,3.197442310920451e-13
1420.0,8.653330862707037,11.03302506254616,50.0,5.0,49.73560877663768,0.49599925881211104,0.49599925881211104,49.59992588121111,-2.291500322826323e-12
1430.0,8.653980063163623,11.034290092323014,50.0,5.0,49.74847960943127,0.49619401894908677,0.49619401894908677,49.61940189490868,-1.9895196601282805e-12
1440.0,8.654597659883827,11.03549353916784,50.0,5.0,49.76072387703588,0.49637929796514796,0.49637929796514796,49.6379297965148,1.4166445794216997e-13
1450.0,8.655185191369574,11.036638401000204,50.0,5.0,49.77237208128016,0.49655555741087215,0.49655555741087215,49.65555574108721,3.5083047578154947e-14
1460.0,8.655744121226956,11.037727529797905,50.0,5.0,49.78345323913284,0.49672323636808674,0.49672323636808674,49.67232363680868,-2.7893243270682433e-12
1470.0,8.656275841812239,11.038763638701576,50.0,5.0,49.793994954987156,0.49688275254367154,0.49688275254367154,49.688275254367156,-1.603162047558726e-13
1480.0,8.656781677700373,11.039749308773407,50.0,5.0,49.80402348942642,0.4970345033101118,0.4970345033101118,49.703450331011176,-1.2434497875801753e-12
1490.0,8.657262888984656,11.040686995426869,50.0,5.0,49.81356382464225,0.49717886669539674,0.49717886669539674,49.71788666953967,-1.723066134218243e-12
1500.0,8.657720674415769,11.041579034543414,50.0,5.0,49.82263972666778,0.4973162023247306,0.4973162023247306,49.73162023247306,1.900701818158268e-12
1510.0,8.658156174387992,11.042427648291415,50.0,5.0,49.83127380458154,0.49744685231639757,0.49744685231639757,49.74468523163976,-3.552713678800501e-13
1520.0,8.658570473780058,11.043234950661839,50.0,5.0,49.83948756682922,0.4975711421340174,0.4975711421340174,49.757114213401735,1.1546319456101628e-12
1530.0,8.658964604657701,11.044002952734427,50.0,5.0,49.84730147480358,0.4976893813973102,0.4976893813973102,49.76893813973102,4.618527782440651e-13
1540.0,8.65933954884465,11.044733567687521,50.0,5.0,49.85473499381598,0.4978018646533952,0.4978018646533952,49.78018646533952,1.1368683772161603e-12
1550.0,8.659696240368461,11.045428615564,50.0,5.0,49.86180664158673,0.4979088721105384,0.4979088721105384,49.79088721105384,-9.947598300641403e-13
1560.0,8.66003556778728,11.046089827805211,50.0,5.0,49.86853403437478,0.49801067033618374,0.49801067033618374,49.801067033618374,8.881784197001252e-13
